dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,14.442268412831911,26,16.289559053226,14.442268412831911,train,"{'temperature1': 8, 'time1': 5, 'age1': 8, 'income1': 4, 'Bar1': 3, 'CoffeeHouse1': 4, 'CarryAway1': 9, 'RestaurantLessThan201': 4, 'Restaurant20To501': 6}",0.5598270062469967,False,0.0,
coupon_full,14.403171552138396,26,16.14848630466122,14.403171552138396,test,"{'temperature1': 8, 'time1': 5, 'age1': 8, 'income1': 4, 'Bar1': 3, 'CoffeeHouse1': 4, 'CarryAway1': 9, 'RestaurantLessThan201': 4, 'Restaurant20To501': 6}",0.5598270062469967,False,0.0,0.0
wine_quality,7.659585628114345,11,9.717545239968528,6.11014948859166,train,"{'fixed_acidity': 4, 'volatile_acidity': 2, 'citric_acid': 5, 'residual_sugar': 4, 'chlorides': 4, 'free_sulfur_dioxide': 3, 'total_sulfur_dioxide': 7, 'density': 1, 'pH': 5, 'sulphates': 2, 'alcohol': 5}",0.6802935010482181,False,0.0,
wine_quality,7.649895178197065,11,9.778825995807129,6.036687631027253,test,"{'fixed_acidity': 4, 'volatile_acidity': 2, 'citric_acid': 5, 'residual_sugar': 4, 'chlorides': 4, 'free_sulfur_dioxide': 3, 'total_sulfur_dioxide': 7, 'density': 1, 'pH': 5, 'sulphates': 2, 'alcohol': 5}",0.6802935010482181,False,0.0,0.0
compas_complete,15.0,15,15.0,8.0,train,"{'age': 7, 'juv_fel_count': 8, 'juv_misd_count': 2, 'juvenile_crimes': 2, 'priors_count': 8}",0.63721657544957,False,0.0,
compas_complete,15.0,15,15.0,8.0,test,"{'age': 7, 'juv_fel_count': 8, 'juv_misd_count': 2, 'juvenile_crimes': 2, 'priors_count': 8}",0.63721657544957,False,0.0,0.0
wisconsin,12.575221238938052,27,18.085545722713864,12.575221238938052,train,"{'radius1': 2, 'texture1': 1, 'perimeter1': 4, 'area1': 8, 'smoothness1': 3, 'compactness1': 2, 'concavity1': 7, 'concave_points1': 9, 'symmetry1': 1, 'fractal_dimension1': 6, 'radius2': 4, 'texture2': 5, 'perimeter2': 3, 'area2': 6, 'smoothness2': 8, 'compactness2': 5, 'concavity2': 3, 'concave_points2': 3, 'symmetry2': 9, 'fractal_dimension2': 9, 'radius3': 7, 'texture3': 3, 'perimeter3': 1, 'area3': 3, 'smoothness3': 5, 'compactness3': 2, 'concavity3': 2, 'concave_points3': 4, 'symmetry3': 7, 'fractal_dimension3': 7}",0.8941176470588236,False,0.0,
wisconsin,11.635294117647058,27,16.36470588235294,11.635294117647058,test,"{'radius1': 2, 'texture1': 1, 'perimeter1': 4, 'area1': 8, 'smoothness1': 3, 'compactness1': 2, 'concavity1': 7, 'concave_points1': 9, 'symmetry1': 1, 'fractal_dimension1': 6, 'radius2': 4, 'texture2': 5, 'perimeter2': 3, 'area2': 6, 'smoothness2': 8, 'compactness2': 5, 'concavity2': 3, 'concave_points2': 3, 'symmetry2': 9, 'fractal_dimension2': 9, 'radius3': 7, 'texture3': 3, 'perimeter3': 1, 'area3': 3, 'smoothness3': 5, 'compactness3': 2, 'concavity3': 2, 'concave_points3': 4, 'symmetry3': 7, 'fractal_dimension3': 7}",0.8941176470588236,False,0.0,0.0
broward_general_2y,16.0126582278481,30,25.82559774964838,15.240506329113924,train,"{'age_at_current_charge': 8, 'age_at_first_charge': 8, 'p_charges': 6, 'p_probation': 1, 'p_juv_fel_count': 8, 'p_felprop_viol': 8, 'p_murder': 6, 'p_felassault': 1, 'p_misdeassault': 3, 'p_sex_offense': 5, 'p_weapon': 1, 'p_fta_two_year': 5, 'p_fta_two_year_plus': 1, 'p_pending_charge': 1, 'p_felony': 2, 'p_misdemeanor': 6, 'p_violence': 4, 'total_convictions': 3, 'p_arrest': 9, 'p_property': 5, 'p_traffic': 3, 'p_drug': 1, 'p_dui': 1, 'p_domestic': 2, 'p_stalking': 3, 'p_voyeurism': 1, 'p_fraud': 1, 'p_stealing': 4, 'p_trespass': 3}",0.5617977528089888,False,0.0,
broward_general_2y,16.230337078651687,30,25.780898876404493,15.702247191011235,test,"{'age_at_current_charge': 8, 'age_at_first_charge': 8, 'p_charges': 6, 'p_probation': 1, 'p_juv_fel_count': 8, 'p_felprop_viol': 8, 'p_murder': 6, 'p_felassault': 1, 'p_misdeassault': 3, 'p_sex_offense': 5, 'p_weapon': 1, 'p_fta_two_year': 5, 'p_fta_two_year_plus': 1, 'p_pending_charge': 1, 'p_felony': 2, 'p_misdemeanor': 6, 'p_violence': 4, 'total_convictions': 3, 'p_arrest': 9, 'p_property': 5, 'p_traffic': 3, 'p_drug': 1, 'p_dui': 1, 'p_domestic': 2, 'p_stalking': 3, 'p_voyeurism': 1, 'p_fraud': 1, 'p_stealing': 4, 'p_trespass': 3}",0.5617977528089888,False,0.0,0.0
