dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,12.277063558812928,23,14.558812928030758,11.896191277183707,train,"{'temperature1': 3, 'time1': 2, 'age1': 8, 'income1': 7, 'Bar1': 2, 'CoffeeHouse1': 2, 'CarryAway1': 3, 'RestaurantLessThan201': 7, 'Restaurant20To501': 8}",0.5655934646804421,False,0.0001,
coupon_full,12.281595386833253,23,14.342623738587218,11.923113887554061,test,"{'temperature1': 3, 'time1': 2, 'age1': 8, 'income1': 7, 'Bar1': 2, 'CoffeeHouse1': 2, 'CarryAway1': 3, 'RestaurantLessThan201': 7, 'Restaurant20To501': 8}",0.5655934646804421,False,0.0001,14.0
wine_quality,11.772357723577235,27,19.281143456595856,11.772357723577235,train,"{'fixed_acidity': 4, 'volatile_acidity': 9, 'citric_acid': 4, 'residual_sugar': 4, 'chlorides': 1, 'free_sulfur_dioxide': 5, 'total_sulfur_dioxide': 5, 'density': 4, 'pH': 4, 'sulphates': 1, 'alcohol': 5}",0.7127882599580713,False,0.0001,
wine_quality,11.861635220125786,27,19.22222222222222,11.861635220125786,test,"{'fixed_acidity': 4, 'volatile_acidity': 9, 'citric_acid': 4, 'residual_sugar': 4, 'chlorides': 1, 'free_sulfur_dioxide': 5, 'total_sulfur_dioxide': 5, 'density': 4, 'pH': 4, 'sulphates': 1, 'alcohol': 5}",0.7127882599580713,False,0.0001,14.0
compas_complete,6.0,6,6.0,6.0,train,"{'age': 5, 'juv_fel_count': 1, 'juv_misd_count': 6, 'juvenile_crimes': 6, 'priors_count': 6}",0.6247068021892104,False,0.0001,
compas_complete,6.0,6,6.0,6.0,test,"{'age': 5, 'juv_fel_count': 1, 'juv_misd_count': 6, 'juvenile_crimes': 6, 'priors_count': 6}",0.6247068021892104,False,0.0001,14.0
wisconsin,18.03834808259587,43,32.78466076696165,18.03834808259587,train,"{'radius1': 6, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 9, 'concave_points1': 8, 'symmetry1': 2, 'fractal_dimension1': 6, 'radius2': 8, 'texture2': 9, 'perimeter2': 3, 'area2': 5, 'smoothness2': 3, 'compactness2': 7, 'concavity2': 6, 'concave_points2': 9, 'symmetry2': 5, 'fractal_dimension2': 5, 'radius3': 8, 'texture3': 7, 'perimeter3': 6, 'area3': 2, 'smoothness3': 3, 'compactness3': 4, 'concavity3': 8, 'concave_points3': 6, 'symmetry3': 4, 'fractal_dimension3': 5}",0.8941176470588236,False,0.0001,
wisconsin,18.58823529411765,43,33.917647058823526,18.58823529411765,test,"{'radius1': 6, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 9, 'concave_points1': 8, 'symmetry1': 2, 'fractal_dimension1': 6, 'radius2': 8, 'texture2': 9, 'perimeter2': 3, 'area2': 5, 'smoothness2': 3, 'compactness2': 7, 'concavity2': 6, 'concave_points2': 9, 'symmetry2': 5, 'fractal_dimension2': 5, 'radius3': 8, 'texture3': 7, 'perimeter3': 6, 'area3': 2, 'smoothness3': 3, 'compactness3': 4, 'concavity3': 8, 'concave_points3': 6, 'symmetry3': 4, 'fractal_dimension3': 5}",0.8941176470588236,False,0.0001,14.0
broward_general_2y,12.819971870604782,25,14.552742616033756,13.466947960618846,train,"{'age_at_current_charge': 1, 'age_at_first_charge': 4, 'p_charges': 7, 'p_probation': 8, 'p_juv_fel_count': 8, 'p_felprop_viol': 5, 'p_murder': 9, 'p_felassault': 2, 'p_misdeassault': 6, 'p_sex_offense': 2, 'p_weapon': 6, 'p_fta_two_year': 9, 'p_fta_two_year_plus': 7, 'p_pending_charge': 7, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 5, 'total_convictions': 8, 'p_arrest': 2, 'p_property': 8, 'p_traffic': 9, 'p_drug': 5, 'p_dui': 1, 'p_domestic': 6, 'p_stalking': 8, 'p_voyeurism': 6, 'p_fraud': 8, 'p_stealing': 6, 'p_trespass': 8}",0.601123595505618,False,0.0001,
broward_general_2y,13.264044943820224,25,15.308988764044944,13.82865168539326,test,"{'age_at_current_charge': 1, 'age_at_first_charge': 4, 'p_charges': 7, 'p_probation': 8, 'p_juv_fel_count': 8, 'p_felprop_viol': 5, 'p_murder': 9, 'p_felassault': 2, 'p_misdeassault': 6, 'p_sex_offense': 2, 'p_weapon': 6, 'p_fta_two_year': 9, 'p_fta_two_year_plus': 7, 'p_pending_charge': 7, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 5, 'total_convictions': 8, 'p_arrest': 2, 'p_property': 8, 'p_traffic': 9, 'p_drug': 5, 'p_dui': 1, 'p_domestic': 6, 'p_stalking': 8, 'p_voyeurism': 6, 'p_fraud': 8, 'p_stealing': 6, 'p_trespass': 8}",0.601123595505618,False,0.0001,14.0
